Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11038,Quantum Theory,X360,0.6216126381973089,Shooter,Tecmo Koei,-0.25061570789536464,-0.25062929280853224,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11039,Jikkyou Powerful Pro Yakyuu Portable 2,PSP,0.1026733037354969,Sports,Konami Digital Entertainment,-0.32408583691208664,-0.29020691975626733,0.039505583883639186,-0.254864386249391,-0.28774668584836705
11040,Reading Training,DS,0.1026733037354969,Misc,Benesse,-0.31184081540929964,-0.29020691975626733,0.007172562123252413,-0.254864386249391,-0.28774668584836705
11041,Kawashima Ryuuta Kyouju Kanshuu Nouryoku Trainer Portable 2,PSP,-0.07030647441844044,Misc,Sega,-0.32408583691208664,-0.29020691975626733,0.039505583883639186,-0.254864386249391,-0.28774668584836705
11042,Bass Pro Shops: The Hunt,X360,0.6216126381973089,Sports,Griffin International,-0.22612566488979066,-0.29020691975626733,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11043,Rugby 2005,PS2,-0.2432862525723778,Sports,Electronic Arts,-0.27510575090093864,-0.23084047933466467,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11044,Carnival Games: Wild West 3D,3DS,0.7945924163512463,Misc,Take-Two Interactive,-0.25061570789536464,-0.25062929280853224,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11045,Ochaken no Heya DS 2,DS,0.1026733037354969,Simulation,MTO,-0.32408583691208664,-0.29020691975626733,0.039505583883639186,-0.254864386249391,-0.28774668584836705
11046,Ratchet & Clank Future: Quest for Booty,PS3,0.27565308188943427,Platform,Sony Computer Entertainment,-0.31184081540929964,-0.17147403891306195,-0.25149161195984193,-0.1488101315839597,-0.28774668584836705
11047,V-Rally Edition 99,N64,-1.4541446996499392,Racing,Infogrames,-0.23837068639257766,-0.25062929280853224,-0.25149161195984193,-0.254864386249391,-0.28774668584836705
11048,Saikyou Habu Shogi,N64,-1.800104255957814,Misc,Seta Corporation,-0.32408583691208664,-0.29020691975626733,-0.05749348139752118,-0.09578300425124404,-0.28774668584836705
11049,Castlevania Dracula X,SNES,-1.9730840341117513,Platform,Konami Digital Entertainment,-0.28735077240372564,-0.27041810628239976,-0.08982650315790797,-0.254864386249391,-0.28774668584836705
11050,Golden Nugget 64,N64,-1.4541446996499392,Misc,Electronic Arts,-0.23837068639257766,-0.25062929280853224,-0.25149161195984193,-0.254864386249391,-0.28774668584836705
11051,Robotron 64,N64,-1.4541446996499392,Shooter,GT Interactive,-0.23837068639257766,-0.25062929280853224,-0.25149161195984193,-0.254864386249391,-0.28774668584836705
11052,Batman Beyond: Return of the Joker,N64,-1.1081851433420646,Action,Ubisoft,-0.23837068639257766,-0.25062929280853224,-0.25149161195984193,-0.254864386249391,-0.28774668584836705
11053,Inazuma Eleven 3,3DS,1.140551972659121,Role-Playing,Nintendo,-0.32408583691208664,-0.13189641196532684,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11054,Ski-Doo Snowmobile Challenge,Wii,0.4486328600433716,Racing,Valcon Games,-0.22612566488979066,-0.29020691975626733,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11055,Naruto RPG 3: Rejiuu vs Konoha Shoutai,DS,-0.07030647441844044,Role-Playing,Takara Tomy,-0.32408583691208664,-0.29020691975626733,0.039505583883639186,-0.254864386249391,-0.28774668584836705
11056,Tunnel B1,PS,-1.800104255957814,Action,Ocean,-0.2628607293981517,-0.23084047933466467,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11057,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,-0.2432862525723778,Platform,Activision,-0.25061570789536464,-0.25062929280853224,-0.25149161195984193,-0.254864386249391,-0.28774668584836705
11058,Winter Stars,PS3,0.7945924163512463,Sports,Deep Silver,-0.31184081540929964,-0.17147403891306195,-0.25149161195984193,-0.1488101315839597,-0.28774668584836705
11059,Go Play: City Sports,Wii,0.4486328600433716,Sports,Majesco Entertainment,-0.22612566488979066,-0.29020691975626733,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11060,Porsche Challenge,PS,-1.6271244778038765,Racing,Sony Computer Entertainment,-0.2628607293981517,-0.23084047933466467,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11061,Dragon Ball Z: Shin Butouden,SAT,-1.9730840341117513,Fighting,Namco Bandai Games,-0.32408583691208664,-0.29020691975626733,0.039505583883639186,-0.254864386249391,-0.28774668584836705
11062,Beowulf: The Game,PSP,0.1026733037354969,Action,Ubisoft,-0.22612566488979066,-0.29020691975626733,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11063,Super Robot Taisen MX Portable,PSP,-0.2432862525723778,Strategy,Banpresto,-0.32408583691208664,-0.29020691975626733,0.039505583883639186,-0.254864386249391,-0.28774668584836705
11064,Mimana Iyar Chronicle,PSP,0.4486328600433716,Role-Playing,GungHo,-0.23837068639257766,-0.29020691975626733,-0.21915859019945516,-0.20183725891667534,-0.28774668584836705
11065,Detana TwinBee Yahho! Deluxe Pack,PS,-1.9730840341117513,Shooter,Konami Digital Entertainment,-0.32408583691208664,-0.29020691975626733,0.007172562123252413,-0.20183725891667534,-0.28774668584836705
11066,Shin Ken to Mah? to Gakuenmono. Toki no Gakuen,PSP,0.9675721945051836,Role-Playing,Acquire,-0.32408583691208664,-0.29020691975626733,0.039505583883639186,-0.254864386249391,-0.28774668584836705
11067,Super Robot Wars OG: The Moon Dwellers,PS4,1.659491307120933,Misc,Namco Bandai Games,-0.32408583691208664,-0.29020691975626733,0.039505583883639186,-0.254864386249391,-0.28774668584836705
11068,Uta no Prince-Sama: Music 2,PSP,1.140551972659121,Adventure,Broccoli,-0.32408583691208664,-0.29020691975626733,0.039505583883639186,-0.254864386249391,-0.28774668584836705
11069,Jambo! Safari Animal Rescue,Wii,0.4486328600433716,Simulation,Sega,-0.23837068639257766,-0.27041810628239976,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
11070,Supreme Commander,X360,0.27565308188943427,Strategy,505 Games,-0.23837068639257766,-0.27041810628239976,-0.25149161195984193,-0.20183725891667534,-0.28774668584836705
